,Ubigeo,pobreza_media,Anio
0,50908,82.4,2013
1,50410,82.3,2013
2,51012,82.25,2013
6,50112,81.95,2013
13,50505,81.05,2013
16,51102,80.35,2013
17,30220,80.35,2013
19,50206,80.2,2013
21,50205,80.1,2013
24,30714,79.94999999999999,2013
25,50703,79.9,2013
33,30504,79.05000000000001,2013
50,50304,77.55,2013
53,30506,77.44999999999999,2013
0,50909,77.30000000000001,2013
1,50911,77.19999999999999,2013
3,50508,77.0,2013
8,50114,76.9,2013
13,50402,76.55,2013
18,30410,75.65,2013
21,30210,75.25,2013
22,30412,75.25,2013
24,30303,75.2,2013
27,50302,75.05,2013
30,90610,74.9,2013
33,30707,74.65,2013
34,50103,74.5,2013
35,50620,74.45,2013
45,90719,74.05000000000001,2013
47,50504,73.9,2013
50,30409,73.65,2013
52,51104,73.55,2013
2,30608,73.1,2013
7,30214,72.9,2013
15,50707,72.55,2013
22,50602,72.35,2013
25,90510,72.15,2013
29,50806,71.8,2013
31,51007,71.55,2013
33,90307,71.5,2013
34,50615,71.5,2013
35,50403,71.45,2013
37,30301,71.2,2013
41,120124,71.0,2013
44,51002,70.9,2013
47,50404,70.75,2013
49,50809,70.7,2013
50,50910,70.7,2013
51,30503,70.55000000000001,2013
0,50606,70.44999999999999,2013
2,50605,70.44999999999999,2013
3,50510,70.15,2013
4,30408,70.0,2013
8,50904,69.9,2013
10,50617,69.9,2013
11,50708,69.8,2013
14,51106,69.7,2013
20,51006,69.6,2013
23,50907,69.45,2013
24,51107,69.44999999999999,2013
27,50405,69.2,2013
36,50702,68.8,2013
37,90503,68.8,2013
38,30603,68.8,2013
42,120504,68.65,2013
45,50102,68.55,2013
51,81209,68.15,2013
52,90502,68.1,2013
53,50204,68.05,2013
0,30505,67.85,2013
3,50501,67.75,2013
7,90306,67.6,2013
10,50502,67.55000000000001,2013
12,30106,67.5,2013
13,90714,67.4,2013
16,30404,67.35,2013
23,90506,66.85,2013
28,30307,66.65,2013
29,30305,66.65,2013
31,90105,66.55000000000001,2013
33,51101,66.35,2013
36,51103,66.2,2013
41,120203,66.0,2013
46,30703,65.7,2013
48,51108,65.55,2013
49,30606,65.55,2013
50,80702,65.55000000000001,2013
5,90203,65.2,2013
7,30207,65.15,2013
13,30202,65.0,2013
21,90504,64.65,2013
22,50113,64.55,2013
23,30501,64.5,2013
26,90720,64.3,2013
31,50407,64.2,2013
32,50906,64.15,2013
33,120709,64.1,2013
36,30607,64.0,2013
39,50111,63.85,2013
49,50802,63.65,2013
52,30205,63.45,2013
0,50903,63.400000000000006,2013
6,51008,63.0,2013
7,90507,63.0,2013
9,81205,62.85,2013
12,30602,62.75,2013
18,90607,62.55,2013
22,50107,62.45,2013
24,50506,62.349999999999994,2013
26,90202,62.35,2013
27,51005,62.349999999999994,2013
29,51105,62.35,2013
30,90511,62.25,2013
33,90613,62.099999999999994,2013
34,90312,62.0,2013
38,30704,61.95,2013
42,30212,61.95,2013
45,50612,61.900000000000006,2013
48,50106,61.8,2013
50,90715,61.7,2013
52,50905,61.55,2013
0,50105,61.5,2013
1,90716,61.45,2013
2,120417,61.4,2013
4,90302,61.35,2013
5,81101,61.35,2013
6,120708,61.3,2013
8,30604,61.25,2013
9,51009,61.25,2013
14,81103,61.099999999999994,2013
19,30415,61.0,2013
20,90718,60.949999999999996,2013
21,81104,60.900000000000006,2013
22,90717,60.9,2013
23,81204,60.85,2013
25,80706,60.75,2013
27,51004,60.65,2013
28,30218,60.7,2013
32,50618,60.599999999999994,2013
38,50704,60.449999999999996,2013
39,30708,60.5,2013
40,51001,60.45,2013
